geometry
"POLYGON ((-149057.2906922066 -19297.08442929216, -146058.2001585922 -19297.08442929216, -146058.2001585922 -22305.5515019698, -149057.2906922066 -22305.5515019698, -149057.2906922066 -19297.08442929216))"
"POLYGON ((-146058.2001585922 -19297.08442929216, -143059.1096249778 -19297.08442929216, -143059.1096249778 -22305.5515019698, -146058.2001585922 -22305.5515019698, -146058.2001585922 -19297.08442929216))"
"POLYGON ((-143059.1096249778 -19297.08442929216, -140060.0190913635 -19297.08442929216, -140060.0190913635 -22305.5515019698, -143059.1096249778 -22305.5515019698, -143059.1096249778 -19297.08442929216))"
"POLYGON ((-191044.5581628077 -16288.61735661452, -188045.4676291934 -16288.61735661452, -188045.4676291934 -19297.08442929216, -191044.5581628077 -19297.08442929216, -191044.5581628077 -16288.61735661452))"
"POLYGON ((-188045.4676291934 -16288.61735661452, -185046.377095579 -16288.61735661452, -185046.377095579 -19297.08442929216, -188045.4676291934 -19297.08442929216, -188045.4676291934 -16288.61735661452))"
"POLYGON ((-185046.377095579 -16288.61735661452, -182047.2865619646 -16288.61735661452, -182047.2865619646 -19297.08442929216, -185046.377095579 -19297.08442929216, -185046.377095579 -16288.61735661452))"
"POLYGON ((-182047.2865619646 -16288.61735661452, -179048.1960283503 -16288.61735661452, -179048.1960283503 -19297.08442929216, -182047.2865619646 -19297.08442929216, -182047.2865619646 -16288.61735661452))"
"POLYGON ((-179048.1960283503 -16288.61735661452, -176049.1054947359 -16288.61735661452, -176049.1054947359 -19297.08442929216, -179048.1960283503 -19297.08442929216, -179048.1960283503 -16288.61735661452))"
"POLYGON ((-176049.1054947359 -16288.61735661452, -173050.0149611215 -16288.61735661452, -173050.0149611215 -19297.08442929216, -176049.1054947359 -19297.08442929216, -176049.1054947359 -16288.61735661452))"
"POLYGON ((-173050.0149611215 -16288.61735661452, -170050.9244275072 -16288.61735661452, -170050.9244275072 -19297.08442929216, -173050.0149611215 -19297.08442929216, -173050.0149611215 -16288.61735661452))"
"POLYGON ((-170050.9244275072 -16288.61735661452, -167051.8338938928 -16288.61735661452, -167051.8338938928 -19297.08442929216, -170050.9244275072 -19297.08442929216, -170050.9244275072 -16288.61735661452))"
"POLYGON ((-167051.8338938928 -16288.61735661452, -164052.7433602784 -16288.61735661452, -164052.7433602784 -19297.08442929216, -167051.8338938928 -19297.08442929216, -167051.8338938928 -16288.61735661452))"
